date,BagQty,ItemQty,PackQty,PatientQty,month,weekday
1922-01-31,880.8857087161593,2555.303067226477,3824.4044919450844,744.5244314806482,January,Tuesday
1922-02-28,1001.6733687685104,2552.926307954212,4082.0908811773334,693.0695467870523,February,Tuesday
1922-03-31,955.836523662841,2586.126527496182,3721.4431402575124,687.882850051706,March,Friday
1922-04-30,869.0474881436064,2585.1320331146558,3839.2473656179286,785.9964647696947,April,Sunday
1922-05-31,863.7849573661151,2748.982250893329,3975.855155315743,715.8933576296022,May,Wednesday
1922-06-30,988.1661023664257,2814.0295152700273,3665.1817848970354,776.3835674859307,June,Friday
1922-07-31,956.3505732722797,2645.0483835822934,3975.448713297726,718.7526576393502,July,Monday
1922-08-31,969.25689176782,2447.7949367646474,3809.053688150288,752.285496296646,August,Thursday
1922-09-30,909.8256624145234,2683.7262812505332,3855.8374934148696,713.4882710630553,September,Saturday
1922-10-31,898.6383591166101,2479.9496937037784,3659.693061423797,789.7685176142863,October,Tuesday
1922-11-30,879.8239458451375,2709.1587282340442,3638.9446991630984,781.78648118268,November,Thursday
1922-12-31,974.5144937886664,2529.530355033017,3749.5805343533507,760.3087904836436,December,Sunday
1923-01-31,988.4496827610335,2529.0491225316578,4174.6396205508945,717.1873848837572,January,Wednesday
1923-02-28,897.4590779491122,2669.534336793692,3888.6892661630322,695.6422122623678,February,Wednesday
1923-03-31,965.6589536435605,2761.929249097104,4218.661479218453,716.2348248078442,March,Saturday
1923-04-30,904.3372540649256,2516.5099354370213,4191.031719104432,692.2074463554179,April,Monday
1923-05-31,932.0570912167441,2460.7287330342097,4047.261054823487,685.2185557204966,May,Thursday
1923-06-30,950.8272813254425,2538.6553292352414,4011.5216178260143,748.171043725964,June,Saturday
1923-07-31,938.4366207479328,2783.829880545994,3858.326706439499,724.6119900406735,July,Tuesday
1923-08-31,888.3106096234538,2778.3158909491203,4166.921319150409,785.9794809128673,August,Friday
1923-09-30,931.8304071389995,2632.6929567903017,3764.3885075092467,771.164910440145,September,Sunday
1923-10-31,869.1113538498893,2564.637007977258,3993.706893990409,738.8572305684199,October,Wednesday
